Age,Gender,EducationLevel,JobTitle,YearsofExperience,Salary
32,Male,Bachelor's,Software Engineer,5.0,90000
28,Female,Master's,Data Analyst,3.0,65000
45,Male,PhD,Senior Manager,15.0,150000
36,Female,Bachelor's,Sales Associate,7.0,60000
52,Male,Master's,Director,20.0,200000
29,Male,Bachelor's,Marketing Analyst,2.0,55000
42,Female,Master's,Product Manager,12.0,120000
31,Male,Bachelor's,Sales Manager,4.0,80000
26,Female,Bachelor's,Marketing Coordinator,1.0,45000
38,Male,PhD,Senior Scientist,10.0,110000
29,Male,Master's,Software Developer,3.0,75000
48,Female,Bachelor's,HR Manager,18.0,140000
35,Male,Bachelor's,Financial Analyst,6.0,65000
40,Female,Master's,Project Manager,14.0,130000
27,Male,Bachelor's,Customer Service Rep,2.0,40000
44,Male,Bachelor's,Operations Manager,16.0,125000
33,Female,Master's,Marketing Manager,7.0,90000
39,Male,PhD,Senior Engineer,12.0,115000
25,Female,Bachelor's,Data Entry Clerk,0.0,35000
51,Male,Bachelor's,Sales Director,22.0,180000
34,Female,Master's,Business Analyst,5.0,80000
47,Male,Master's,VP of Operations,19.0,190000
30,Male,Bachelor's,IT Support,2.0,50000
36,Female,Bachelor's,Recruiter,9.0,60000
41,Male,Master's,Financial Manager,13.0,140000
28,Female,Bachelor's,Social Media Manageredia Specialist,3.0,45000
37,Female,Master's,Software Manager,11.0,110000
24,Male,Bachelor's,Junior Developer,1.0,40000
43,Female,PhD,Senior Consultant,15.0,140000
33,Male,Master's,Product Designer,6.0,90000
50,Male,Bachelor's,CEO,25.0,250000
31,Female,Bachelor's,Accountant,4.0,55000
29,Male,Master's,Data Scientist,3.0,75000
39,Female,Bachelor's,Marketing Specialist,10.0,65000
46,Male,PhD,Senior Manager,20.0,170000
27,Male,Bachelor's,Technical Writer,2.0,45000
35,Female,Bachelor's,HR Generalist,7.0,60000
42,Male,Master's,Project Engineer,14.0,115000
26,Female,Bachelor's,Customer Success Rep,1.0,40000
49,Male,Bachelor's,Sales Executive,21.0,160000
34,Female,Master's,UX Designer,5.0,80000
48,Male,Master's,Operations Director,18.0,190000
30,Male,Bachelor's,Network Engineer,3.0,60000
36,Female,Bachelor's,Administrative Assistant,8.0,45000
41,Male,Master's,Strategy Consultant,13.0,130000
28,Female,Bachelor's,Copywriter,2.0,40000
32,Male,Bachelor's,Account Manager,5.0,75000
45,Female,Master's,Director of Marketing,16.0,180000
38,Male,PhD,Senior Scientist,11.0,120000
25,Male,Bachelor's,Help Desk Analyst,0.0,35000
51,Female,Bachelor's,Customer Service Manager,22.0,130000
33,Male,Master's,Business Intelligence Analyst,7.0,85000
40,Female,Bachelor's,Event Coordinator,12.0,60000
47,Male,Master's,VP of Finance,19.0,200000
29,Female,Bachelor's,Graphic Designer,3.0,50000
36,Male,Bachelor's,Sales Manager,9.0,95000
27,Female,Master's,UX Researcher,2.0,65000
43,Male,PhD,Senior Engineer,17.0,140000
30,Female,Bachelor's,Social Media Manageredia Manager,4.0,55000
35,Male,Master's,Product Manager,7.0,105000
51,Female,Master's,Director of Operations,23.0,170000
29,Male,Bachelor's,Marketing Analyst,3.0,50000
40,Female,Bachelor's,HR Manager,12.0,80000
47,Male,PhD,Senior Data Scientist,21.0,180000
26,Male,Bachelor's,Junior Accountant,1.0,35000
38,Female,Master's,Digital Marketing Manager,10.0,90000
46,Male,Bachelor's,IT Manager,19.0,120000
31,Female,Bachelor's,Customer Service Representative,5.0,45000
34,Male,Master's,Business Development Manager,8.0,90000
49,Female,Master's,Senior Financial Analyst,18.0,150000
33,Male,Bachelor's,Web Developer,6.0,65000
39,Female,Bachelor's,Recruiter,11.0,70000
45,Male,PhD,Research Director,16.0,190000
28,Male,Bachelor's,Technical Support Specialist,2.0,40000
42,Female,Master's,Creative Director,14.0,120000
37,Male,Bachelor's,Project Manager,10.0,95000
50,Female,Bachelor's,Operations Manager,22.0,160000
32,Male,Master's,Senior Software Engineer,6.0,100000
48,Female,Master's,Human Resources Director,20.0,180000
30,Female,Bachelor's,Content Marketing Manager,3.0,55000
36,Male,Bachelor's,Technical Recruiter,8.0,70000
41,Female,Master's,Data Analyst,13.0,80000
25,Male,Bachelor's,Sales Representative,0.0,30000
52,Male,PhD,Chief Technology Officer,24.0,250000
29,Female,Bachelor's,Junior Designer,2.0,40000
34,Female,Master's,Financial Advisor,10.0,95000
27,Male,Bachelor's,Junior Account Manager,2.0,45000
40,Female,Bachelor's,HR Generalist,15.0,80000
46,Male,Master's,Senior Project Manager,21.0,135000
31,Female,Bachelor's,Marketing Coordinator,6.0,55000
36,Male,PhD,Principal Scientist,11.0,120000
29,Female,Bachelor's,Sales Associate,3.0,40000
43,Male,Bachelor's,Supply Chain Manager,18.0,105000
52,Female,Master's,Senior Marketing Manager,25.0,170000
33,Male,Bachelor's,Business Analyst,7.0,75000
39,Female,Bachelor's,Training Specialist,12.0,65000
47,Male,PhD,Research Scientist,22.0,160000
26,Male,Bachelor's,Junior Software Developer,1.0,35000
38,Female,Master's,Public Relations Manager,10.0,90000
45,Male,Bachelor's,Operations Analyst,20.0,110000
31,Female,Bachelor's,Event Coordinator,5.0,45000
35,Male,Master's,Product Marketing Manager,8.0,95000
49,Female,Master's,Senior HR Manager,19.0,150000
33,Male,Bachelor's,Junior Web Developer,5.0,50000
39,Female,Master's,Senior Project Coordinator,13.0,80000
44,Male,PhD,Chief Data Officer,16.0,220000
30,Female,Bachelor's,Digital Content Producer,3.0,50000
36,Male,Bachelor's,IT Support Specialist,7.0,60000
41,Female,Master's,Senior Marketing Analyst,14.0,100000
28,Male,Bachelor's,Customer Success Manager,2.0,40000
42,Female,Master's,Senior Graphic Designer,15.0,110000
37,Male,Bachelor's,Software Project Manager,9.0,95000
50,Female,Bachelor's,Supply Chain Analyst,22.0,130000
32,Male,Master's,Senior Business Analyst,6.0,90000
23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000
31,Male,Master's,Senior Financial Analyst,6.0,95000
40,Female,Bachelor's,Office Manager,15.0,65000
48,Male,PhD,Principal Engineer,20.0,170000
29,Female,Bachelor's,Junior HR Generalist,3.0,45000
35,Male,Master's,Senior Product Manager,10.0,120000
42,Female,Bachelor's,Sales Manager,17.0,100000
53,Male,Master's,Director of Marketing,25.0,180000
33,Female,Bachelor's,Junior Operations Analyst,5.0,50000
38,Male,Bachelor's,Customer Service Manager,11.0,80000
44,Female,PhD,Senior Scientist,16.0,140000
26,Male,Bachelor's,Junior Accountant,2.0,40000
37,Female,Master's,Senior HR Generalist,9.0,95000
45,Male,Bachelor's,Sales Operations Manager,18.0,110000
32,Female,Bachelor's,Marketing Coordinator,4.0,50000
34,Male,Master's,Senior Software Developer,8.0,105000
50,Female,Master's,Director of Operations,21.0,160000
29,Male,Bachelor's,Junior Web Designer,3.0,45000
40,Female,Master's,Senior Training Specialist,12.0,100000
47,Male,PhD,Senior Research Scientist,22.0,160000
27,Male,Bachelor's,Junior Sales Representative,1.0,35000
39,Female,Bachelor's,Administrative Assistant,10.0,55000
46,Male,Master's,Senior Project Manager,19.0,140000
30,Female,Bachelor's,Junior Marketing Manager,4.0,50000
36,Male,Bachelor's,Junior Data Analyst,7.0,60000
43,Female,Master's,Senior Product Marketing Manager,14.0,120000
28,Male,Bachelor's,Junior Business Analyst,2.0,40000
41,Female,Master's,Senior Marketing Manager,13.0,110000
33,Male,Bachelor's,Junior Software Developer,5.0,50000
47,Male,Bachelor's,Senior Sales Manager,20.0,135000
25,Female,Master's,Junior Marketing Specialist,1.5,40000
34,Male,Bachelor's,Senior Business Analyst,8.0,90000
42,Female,PhD,Senior Data Scientist,16.0,150000
31,Male,Bachelor's,Junior Project Manager,4.0,60000
38,Female,Bachelor's,Senior Accountant,10.0,80000
45,Male,Master's,Director of Sales,19.0,175000
29,Female,Bachelor's,Junior Recruiter,3.0,45000
36,Male,Master's,Senior Business Development Manager,11.0,120000
43,Female,PhD,Senior Product Designer,18.0,140000
26,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000
37,Female,Master's,Senior Marketing Analyst,9.0,95000
44,Male,Bachelor's,Senior IT Support Specialist,14.0,110000
32,Female,Bachelor's,Junior Financial Analyst,5.0,50000
33,Male,Master's,Senior Operations Manager,7.0,115000
51,Female,PhD,Director of Human Resources,23.0,185000
28,Male,Bachelor's,Junior Software Engineer,2.0,40000
39,Female,Bachelor's,Senior Sales Representative,12.0,90000
48,Male,Master's,Director of Product Management,21.0,175000
30,Female,Bachelor's,Junior Copywriter,3.0,45000
35,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000
41,Female,Master's,Senior Human Resources Manager,13.0,120000
27,Male,Bachelor's,Junior Business Development Associate,1.5,35000
40,Female,Bachelor's,Senior Account Manager,14.0,110000
46,Male,PhD,Senior Researcher,18.0,150000
31,Female,Bachelor's,Junior HR Coordinator,4.0,50000
34,Male,Master's,Senior Software Engineer,9.0,105000
50,Female,Master's,Director of Finance,20.0,180000
29,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000
43,Male,Bachelor's,Senior Project Manager,16.0,140000
26,Female,Master's,Junior Data Scientist,1.5,45000
35,Male,Bachelor's,Senior Operations Analyst,7.0,85000
42,Female,PhD,Senior Marketing Manager,18.0,140000
31,Male,Bachelor's,Junior Accountant,4.0,50000
38,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000
46,Male,Master's,Director of Operations,20.0,170000
29,Female,Bachelor's,Junior Sales Representative,2.0,40000
37,Male,Master's,Senior Business Analyst,9.0,105000
44,Female,PhD,Senior UX Designer,15.0,145000
27,Male,Bachelor's,Junior Product Manager,2.0,40000
36,Female,Bachelor's,Senior Marketing Specialist,8.0,85000
43,Male,Bachelor's,Senior IT Project Manager,14.0,130000
33,Female,Master's,Senior Financial Analyst,6.0,95000
34,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000
50,Female,PhD,Director of Sales and Marketing,22.0,180000
28,Male,Bachelor's,Junior Operations Analyst,1.5,35000
39,Female,Bachelor's,Senior Account Executive,12.0,95000
47,Male,Master's,Director of Business Development,19.0,170000
30,Female,Bachelor's,Junior Social Media Manageredia Manager,3.0,45000
34,Male,Bachelor's,Senior Product Manager,7.0,95000
40,Female,Master's,Senior Human Resources Specialist,13.0,120000
41,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000
45,Male,PhD,Senior Data Analyst,17.0,155000
32,Female,Bachelor's,Junior Account Manager,5.0,55000
35,Male,Master's,Senior Software Developer,9.0,110000
49,Female,Master's,Director of Human Capital,21.0,180000
30,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000
44,Male,Bachelor's,Senior Sales Manager,16.0,130000
27,Female,Master's,Junior UX Designer,1.5,45000
36,Male,Bachelor's,Senior Accountant,7.0,90000
41,Female,PhD,Senior Marketing Director,17.0,160000
31,Male,Bachelor's,Junior HR Generalist,4.0,50000
39,Female,Bachelor's,Senior Operations Manager,10.0,120000
47,Male,Master's,Director of Finance,20.0,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000
38,Male,Master's,Senior IT Consultant,9.0,110000
45,Female,PhD,Senior Product Designer,15.0,150000
28,Male,Bachelor's,Junior Business Development Associate,2.0,40000
35,Female,Bachelor's,Senior Marketing Analyst,8.0,85000
44,Male,Bachelor's,Senior Software Engineer,14.0,130000
34,Female,Master's,Senior Financial Advisor,6.0,100000
35,Male,Bachelor's,Senior Project Coordinator,9.0,95000
50,Female,PhD,Director of Operations,22.0,180000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000
40,Female,Bachelor's,Senior Sales Representative,12.0,100000
48,Male,Master's,Director of Marketing,19.0,170000
31,Female,Bachelor's,Junior Social Media Manageredia Specialist,3.0,45000
33,Male,Bachelor's,Senior Product Development Manager,7.0,100000
42,Female,Master's,Senior Human Resources Manager,13.0,140000
28,Male,Bachelor's,Junior Financial Analyst,2.0,40000
40,Female,Bachelor's,Senior Marketing Manager,11.0,105000
46,Male,PhD,Senior Data Scientist,18.0,160000
33,Female,Bachelor's,Junior Operations Manager,5.0,70000
37,Male,Master's,Senior Software Architect,9.0,120000
51,Female,Master's,Director of Human Resources,21.0,190000
30,Male,Bachelor's,Junior Marketing Specialist,3.0,45000
43,Male,Bachelor's,Senior Project Manager,15.0,120000
27,Female,Master's,Junior Research Scientist,1.5,50000
35,Male,Bachelor's,Senior Operations Analyst,8.0,85000
42,Female,PhD,Senior Marketing Manager,13.0,140000
32,Male,Bachelor's,Junior Sales Representative,3.0,45000
37,Female,Bachelor's,Senior Financial Analyst,9.0,100000
45,Male,Master's,Senior Software Developer,16.0,140000
33,Female,Bachelor's,Junior Operations Analyst,5.0,70000
39,Male,Bachelor's,Senior Marketing Specialist,10.0,120000
44,Female,PhD,Senior HR Manager,18.0,160000
29,Male,Bachelor's,Junior Business Analyst,1.5,40000
38,Female,Bachelor's,Senior Product Manager,10.0,120000
46,Male,PhD,Senior Data Analyst,19.0,150000
34,Female,Bachelor's,Junior Marketing Analyst,6.0,70000
36,Male,Bachelor's,Senior Operations Manager,8.0,95000
49,Female,Master's,Director of Marketing,21.0,180000
31,Male,Bachelor's,Junior Financial Analyst,3.0,50000
41,Female,Bachelor's,Senior Project Coordinator,11.0,95000
47,Male,Master's,Director of Operations,20.0,170000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350
37,Female,Bachelor's,Senior Financial Manager,10.0,120000
31,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000
42,Male,Bachelor's,Senior Operations Manager,12.0,110000
29,Female,Bachelor's,Junior Sales Representative,1.5,40000
36,Male,Bachelor's,Senior Marketing Specialist,8.0,95000
44,Female,Master's,Senior HR Specialist,15.0,140000
33,Male,Bachelor's,Junior Operations Manager,4.0,60000
39,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000
45,Male,PhD,Senior Data Engineer,16.0,150000
32,Female,Bachelor's,Junior Marketing Manager,4.0,60000
37,Male,Bachelor's,Senior Financial Analyst,8.0,90000
47,Female,Master's,Director of Marketing,20.0,180000
30,Male,Bachelor's,Junior Business Analyst,2.0,40000
38,Female,Bachelor's,Senior Project Manager,9.0,120000
46,Male,PhD,Senior Data Analyst,17.0,160000
34,Female,Bachelor's,Junior Financial Analyst,5.0,70000
36,Male,Bachelor's,Senior Product Manager,8.0,95000
49,Female,Master's,Director of Operations,21.0,180000
31,Male,Bachelor's,Junior Operations Analyst,3.0,50000
47,Male,Master's,Director of Marketing,19.0,170000
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000
35,Male,Bachelor's,Senior Financial Manager,9.0,100000
44,Female,PhD,Senior Product Designer,15.0,150000
33,Male,Bachelor's,Junior Business Analyst,4.0,60000
44,Male,Bachelor's,Senior Software Engineer,13.0,130000
32,Male,Bachelor's,Junior Product Manager,4.0,65000
38,Female,Bachelor's,Senior Business Analyst,10.0,110000
49,Male,PhD,Director of Operations,21.0,180000
29,Female,Bachelor's,Junior Marketing Specialist,2.0,40000
35,Male,Bachelor's,Senior Business Development Manager,7.0,90000
45,Female,Master's,Senior HR Manager,14.0,140000
33,Male,Bachelor's,Junior Financial Analyst,4.0,60000
40,Female,Bachelor's,Senior Marketing Manager,12.0,130000
44,Male,PhD,Senior Data Scientist,16.0,160000
30,Female,Bachelor's,Junior Operations Coordinator,2.0,40000
37,Male,Bachelor's,Senior Marketing Analyst,9.0,100000
48,Female,Master's,Director of HR,20.0,180000
31,Male,Bachelor's,Junior Project Manager,3.0,55000
38,Female,Bachelor's,Senior Operations Coordinator,9.0,120000
33,Female,Bachelor's,Junior Marketing Manager,5.0,70000
36,Male,Bachelor's,Senior Business Analyst,8.0,95000
42,Female,Bachelor's,Senior Project Manager,12.0,120000
34,Female,Master's,Senior Financial Advisor,6.0,80000
30,Female,Bachelor's,Junior HR Coordinator,2.0,40000
37,Male,Bachelor's,Senior Business Development Manager,10.0,120000
45,Female,Master's,Senior Marketing Manager,16.0,160000
32,Male,Bachelor's,Junior Financial Advisor,4.0,65000
39,Female,Bachelor's,Senior Project Manager,12.0,130000
47,Male,PhD,Director of Engineering,20.0,180000
29,Female,Bachelor's,Junior Marketing Analyst,2.0,40000
36,Male,Bachelor's,Senior Operations Manager,9.0,100000
43,Female,PhD,Senior Data Scientist,15.0,150000
32,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000
48,Male,Master's,Director of Marketing,21.0,180000
31,Female,Bachelor's,Junior Business Development Associate,3.0,50000
40,Male,Bachelor's,Senior Financial Analyst,12.0,130000
45,Female,PhD,Senior UX Designer,16.0,160000
33,Male,Bachelor's,Junior Product Manager,4.0,60000
36,Female,Bachelor's,Senior Marketing Manager,8.0,95000
47,Male,Master's,Director of Operations,19.0,170000
29,Female,Bachelor's,Junior Project Manager,2.0,40000
34,Male,Bachelor's,Senior Operations Coordinator,7.0,90000
44,Female,PhD,Senior Business Analyst,15.0,150000
33,Male,Bachelor's,Junior Marketing Specialist,5.0,70000
35,Female,Bachelor's,Senior Financial Manager,8.0,90000
43,Male,Master's,Director of Marketing,18.0,170000
31,Female,Bachelor's,Junior Financial Analyst,3.0,50000
41,Male,Bachelor's,Senior Product Manager,14.0,150000
44,Female,PhD,Senior Data Engineer,16.0,160000
45,Male,Master's,Director of Engineering,19.0,180000
28,Female,Bachelor's,Junior Operations Manager,1.0,35000
36,Male,Bachelor's,Senior Business Development Manager,8.0,110000
44,Female,PhD,Senior Data Scientist,16.0,160000
31,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000
43,Male,Master's,Director of Operations,19.0,170000
31,Male,Master's,Data Scientist,6.0,160000
28,Female,Bachelor's,Software Engineer,3.0,125000
26,Male,Master's,Product Manager,2.0,120000
27,Female,Bachelor's,Data Analyst,2.0,110000
30,Male,PhD,Data Scientist,5.0,180000
29,Female,Bachelor's,Software Engineer,4.0,140000
32,Male,Bachelor's,Product Manager,7.0,170000
25,Female,Master's,Data Analyst,1.0,100000
33,Male,PhD,Data Scientist,8.0,190000
31,Female,Bachelor's,Software Engineer,6.0,155000
28,Male,Master's,Product Manager,3.0,130000
30,Female,Bachelor's,Data Analyst,5.0,145000
27,Male,PhD,Data Scientist,2.0,115000
34,Male,Bachelor's,Product Manager,9.0,185000
28,Male,Bachelor's,Software Engineer,3.0,125000
26,Female,Master's,Product Manager,2.0,120000
27,Male,Bachelor's,Data Analyst,2.0,110000
30,Female,PhD,Data Scientist,5.0,180000
29,Male,Bachelor's,Software Engineer,4.0,140000
26,Male,Bachelor's,Data Analyst,3.0,130000
29,Female,Master's,Data Scientist,6.0,180000
32,Male,Bachelor's,Software Engineer,8.0,190000
27,Female,Bachelor's,Product Manager,4.0,150000
24,Male,Bachelor's,Data Analyst,1.0,90000
31,Female,Master's,Data Scientist,9.0,195000
28,Male,Bachelor's,Software Engineer,5.0,160000
33,Female,Master's,Product Manager,11.0,198000
25,Male,Bachelor's,Data Analyst,2.0,110000
30,Female,PhD,Data Scientist,7.0,185000
27,Male,Bachelor's,Software Engineer,4.0,140000
34,Female,Master's,Product Manager,12.0,196000
23,Male,Bachelor's,Data Analyst,1.0,95000
32,Female,PhD,Data Scientist,10.0,193000
29,Male,Bachelor's,Software Engineer,6.0,175000
30,Female,Bachelor's,Product Manager,5.0,160000
31,Female,Master's,Data Scientist,6.0,180000
31,Male,Bachelor's,Data Analyst,9.0,195000
28,Female,Bachelor's,Software Engineer,5.0,160000
33,Male,Master's,Product Manager,11.0,198000
26,Female,Bachelor's,Data Analyst,3.0,130000
30,Male,PhD,Data Scientist,7.0,185000
27,Female,Bachelor's,Software Engineer,4.0,140000
34,Male,Master's,Product Manager,12.0,196000
25,Female,Bachelor's,Data Analyst,2.0,110000
30,Male,Bachelor's,Data Analyst,5.0,160000
31,Female,PhD,Data Scientist,9.0,195000
25,Male,Bachelor's,Data Analyst,2.0,125000
28,Female,Master's,Data Scientist,6.0,175000
30,Male,Bachelor's,Software Engineer,8.0,190000
24,Male,Bachelor's,Data Analyst,1.0,95000
31,Male,Master's,Data Scientist,9.0,195000
23,Male,Bachelor's,Data Analyst,1.0,90000
29,Male,Bachelor's,Software Engineer,6.0,170000
26,Male,Bachelor's,Data Analyst,3.0,135000
25,Male,Bachelor's,Data Analyst,2.0,115000
27,Female,Master's,Data Scientist,4.0,150000
24,Female,Bachelor's,Product Manager,3.0,125000
31,Male,Master's,Data Scientist,7.0,180000
33,Female,Master's,Product Manager,10.0,195000
30,Female,PhD,Data Scientist,6.0,170000
34,Female,Master's,Product Manager,11.0,196000
23,Male,Bachelor's,Data Analyst,1.0,92000
32,Female,PhD,Data Scientist,9.0,195000
28,Male,Bachelor's,Software Engineer,5.0,165000
25,Male,Bachelor's,Data Analyst,3.0,135000
33,Female,Master's,Product Manager,11.0,196000
24,Male,Bachelor's,Data Analyst,1.0,92000
32,Male,Bachelor's,Data Analyst,5.0,135000
27,Female,Master's,Data Scientist,3.0,180000
40,Male,Bachelor's,Software Engineer,12.0,195000
35,Female,Bachelor's,Product Manager,8.0,165000
43,Male,Master's,Data Scientist,15.0,198000
29,Female,Bachelor's,Software Engineer,4.0,150000
36,Male,Bachelor's,Data Analyst,9.0,162000
31,Male,Master's,Data Scientist,6.0,175000
42,Female,Bachelor's,Software Engineer,13.0,197000
33,Male,Bachelor's,Data Analyst,7.0,142000
29,Female,Master's,Data Scientist,4.0,182000
41,Male,Bachelor's,Software Engineer,11.0,185000
35,Female,Bachelor's,Product Manager,8.0,170000
27,Male,Bachelor's,Software Engineer,4.0,160000
32,Male,Bachelor's,Data Scientist,8.0,180000
29,Female,Master's,Data Analyst,6.0,150000
30,Male,Bachelor's,Data Analyst,5.0,140000
24,Male,Bachelor's,Data Analyst,2.0,100000
33,Female,Master's,Product Manager,11.0,190000
26,Male,Bachelor's,Data Analyst,3.0,120000
30,Female,PhD,Data Scientist,7.0,170000
31,Male,Bachelor's,Data Analyst,9.0,190000
28,Female,Bachelor's,Software Engineer,5.0,150000
26,Female,Bachelor's,Data Analyst,3.0,120000
30,Male,PhD,Data Scientist,7.0,170000
27,Female,Bachelor's,Product Manager,4.0,130000
24,Male,Bachelor's,Data Analyst,2.0,95000
33,Male,Master's,Product Manager,11.0,195000
25,Male,Bachelor's,Data Analyst,2.0,100000
28,Male,Bachelor's,Software Engineer,5.0,150000
29,Female,Master's,Data Scientist,6.0,150000
33,Female,Master's,Product Manager,11.0,195000
31,Female,Master's,Data Scientist,6.0,170000
32,Male,Bachelor's,Software Engineer,8.0,180000
34,Female,Master's,Product Manager,12.0,190000
25,Female,Bachelor's,Data Analyst,2.0,100000
29,Male,Bachelor's,Software Engineer,7.0,180000
27,Female,Bachelor's,Data Analyst,5.0,120000
33,Male,Master's,Data Scientist,10.0,195000
28,Male,Bachelor's,Software Engineer,4.0,160000
26,Female,Bachelor's,Data Analyst,3.0,100000
31,Male,Bachelor's,Product Manager,8.0,190000
30,Male,Master's,Software Engineer,6.0,170000
32,Female,Bachelor's,Data Scientist,9.0,185000
29,Male,Bachelor's,Data Analyst,7.0,130000
35,Female,Bachelor's,Product Manager,12.0,190000
27,Male,Bachelor's,Software Engineer,5.0,150000
28,Female,Master's,Data Scientist,6.0,150000
37,Male,PhD,Product Manager,14.0,195000
26,Male,Bachelor's,Data Analyst,3.0,110000
